OldState	Action		NewState
2094.4	1.0	8.19217
2094.68	1.0	9.08462
2094.79	1.0	7.49586
2094.81	1.0	8.27004
2094.86	1.0	9.04567
2095.04	1.0	9.63973
2095.22	1.0	9.63107
2095.24	1.0	7.70551
2095.26	1.0	9.5821
2095.4	1.0	7.66724
2095.58	1.0	8.06909
2095.69	1.0	7.47263
2095.71	1.0	-100.0
2095.76	1.0	8.60941
2095.93	1.0	-100.0
2096.02	1.0	8.17326
2096.11	1.0	9.28792
2096.14	1.0	8.19522
2096.16	1.0	7.9962
2096.2	1.0	9.23188
2096.25	1.0	8.76184
2096.29	1.0	4.71678
2096.34	1.0	7.83373
2096.38	1.0	7.67622
2096.39	1.0	10.6775
2096.43	1.0	8.33916
2096.47	1.0	7.26201
2096.52	1.0	7.9082
2096.56	1.0	7.531
2096.59	1.0	8.23274
2096.61	1.0	7.77793
2096.65	1.0	8.27687
2096.66	1.0	8.23905
2096.7	1.0	8.20865
2096.74	1.0	8.63387
2096.79	1.0	7.77639
2096.83	1.0	8.00448
2096.88	1.0	-2.2002
2096.92	1.0	5.93127
2096.97	1.0	8.22373
2097.01	1.0	10.2574
2097.04	1.0	8.1884
2097.06	1.0	8.214
2097.1	1.0	8.43364
2097.15	1.0	7.5357
2097.19	1.0	7.08888
2097.24	1.0	-4.24121
2097.28	1.0	-100.0
2097.29	1.0	-100.0
2097.33	1.0	9.0197
2097.38	1.0	8.78376
2097.47	1.0	-0.591553
2097.49	1.0	1.14112
2097.51	1.0	7.89395
2097.55	1.0	7.82421
2097.56	1.0	9.25785
2097.6	1.0	7.69038
2097.65	1.0	9.56159
2097.69	1.0	8.04395
2097.94	1.0	7.65683
2097.97	1.0	10.2962
2098.19	1.0	8.27914
2098.28	1.0	-1.02173
2098.32	1.0	7.77484
2098.39	1.0	7.57697
2098.42	1.0	7.71283
2098.84	1.0	9.20414
2098.87	1.0	-4.29053
2099.29	1.0	8.19197
2099.32	1.0	8.26478
2099.74	1.0	6.38053
2099.77	1.0	8.41812
2100.2	1.0	8.88676
2100.22	1.0	8.34047
2100.35	1.0	-100.0
2100.65	1.0	8.25291
2100.67	1.0	7.99601
